hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.050594980095696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0506393917986803,1.050519127112027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0507613168176497,1.0508852584626638,1.0509799411302259,1.0528927697920667,1.0519395426701998,1.0548127398518041,1.054885032458894,1.0562617280018054,1.0562538666391135,,,,1.0558852978158422,1.0540577550289403,1.0558243986090114,1.053993713057545,,,,,,,,,,1.0562616463457974,,,1.0539419914812278,1.0520062512111499,,,,
8,1.0507299809574613,1.0509466496974875,1.0511052320976106,1.054229461807323,1.0528425827539818,1.0575102011764947,1.057583876521282,1.0600163286221698,1.0600224693101732,,,,1.0599112401439814,1.056913515709723,1.0598510554884049,1.0577279893298046,1.052785988305247,1.0515460409426731,1.0512881354091228,,1.0512747037001249,1.0515519149850852,1.0515804593977152,1.0519574443183222,1.0520151428548525,1.060016818278459,1.0527437762965532,1.0527873322663883,1.0576595508511988,1.0544737989236805,1.0521982824682838,1.0513580555660542,1.05129021149357,
9,1.0507439399537326,1.0510452275126276,1.0512611097459967,1.0554577020864742,1.0538494501064486,1.0599647098155809,1.060042979690232,1.063436056175791,1.0634553594000655,,,,1.063644270184672,1.0600171620807868,1.0635964896498613,1.0615833246501947,1.0564033940827384,1.0550072542612765,1.0547373651085954,,1.054723298445614,1.0550108259375872,1.0550282807745333,1.0554030417462785,1.0554605728954483,1.0634370393865165,1.0563638434827347,1.056404801904775,1.061511680483205,1.0576648024553514,1.0557434073500407,1.0548105293251813,1.0547395258702883,
10,1.0507334161575659,1.0510674341545791,1.0513058443861552,1.0559301471258267,1.0541765696533982,1.0609210581899104,1.0609999237840728,1.0647709546349955,1.0647953014414513,,,,1.0650792320748368,1.0610565130991625,1.065032185770198,1.0629293861036724,1.057346402741343,1.0557965068014539,1.055515116886352,,1.0555004489354465,1.055797764725467,1.0558040763226586,1.056175640208971,1.05623284028787,1.0647721419178295,1.0573102952215616,1.0573479180598198,1.0628522295854637,1.0585835496762928,1.0566152545693777,1.0555914149805503,1.0555173678652523,
11,1.0506163378506166,1.0508612027611248,1.0510416341727613,1.0546185212542263,1.0527130618125207,1.0583708682413848,1.0584371034053919,1.061225169436904,1.0612351336810568,,,,1.0610590791275931,1.0567273887489712,1.060971897459101,1.0578772462678738,,,,,,,,,,1.061225916202716,,,1.0577752226224115,1.0531431618430593,,,,
12,1.0505718887589648,1.0507484174907857,1.0508833425584372,1.0536201833892058,1.0517762567547975,1.0563974698489935,1.0564574323220082,1.058476548514929,1.0584756838173228,,,,1.058009160074362,1.0538951881982193,1.0579030286098747,1.0544310550126865,,,,,,,,,,1.0584769217309185,,,1.0543223216220436,,,,,
13,1.050559011643854,1.0506547483437274,1.0507349352546267,1.0524464815560803,1.050824799051243,1.0540507328692124,1.0541063264965005,1.0552058855642394,1.0551924360241256,,,,1.054439230355954,1.0509607223854398,1.054321332747699,1.050747317722043,,,,,,,,,,1.0552057865411746,,,1.0506417458009096,,,,,
14,1.0505913421381305,1.0506239471279186,1.0506603555123208,1.0515371760738146,,1.0522067521363665,1.052262235798496,1.0526369445086063,1.0526139749467325,,,,1.051700010963128,,1.0515845061462574,,,,,,,,,,,1.0526364462995699,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
