arquitetura,cenario,tensao_maxima_barras_pv_dia_pu,tensao_maxima_rede_dia_pu,horas_com_violacao_barras_pv,energia_disponivel_kwh,energia_cortada_kwh,curtailment_percentual_dia,sigma_r_diario_por_energia,tensao_maxima_barras_pv_hora_pico_pu,curtailment_percentual_816,curtailment_percentual_824,curtailment_percentual_828,curtailment_percentual_830,curtailment_percentual_832,curtailment_percentual_850,horas_com_controle_ativo,horas_nao_convergidas,iteracoes_totais_no_dia,horas_com_consenso_satisfeito,erro_consenso_global_hora_pico,consenso_satisfeito_hora_pico,iteracoes_hora_pico,status_hora_pico,sigma_r_global_hora_pico,sigma_r_por_particao_hora_pico,barras_hora_com_sobretensao_no_dia,barras_hora_com_subtensao_no_dia
sem_controle,sem_controle,1.065079232074837,1.065079232074837,8,4573.578480614227,0.0,0.0,0.0,1.065079232074837,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,170,85
leader_follower,C1,1.0504998653253068,1.050798209951824,0,4573.617574658268,1904.7837134633783,41.64720120058792,0.019220371667332627,1.0504994043677758,44.62487323060296,43.14609229033618,41.735184757629185,40.53234707922842,39.19670325765751,39.65717629368834,8.0,0.0,1481.0,16.0,0.02267201383681327,False,167.0,convergiu,0.022671992544232456,[0.022672],52,85
leader_follower,C2,1.0608520426612322,1.0608520426612322,8,4573.580351424379,754.8996069607753,16.50565965733328,0.3493855930506552,1.0608520426612322,93.75037410141313,0.0003416773464658657,0.0003437229623202074,0.0003979999987233183,0.0005059522755393004,0.00031930300119458187,8.0,7.0,3647.0,16.0,0.372677996249965,False,500.0,nao_convergiu,0.37267553302570194,"[0.0, 0.0]",145,85
leader_follower,C3_lider_curta,1.0504989670073044,1.0507974957944095,0,4573.617580210631,1904.1757102814076,41.63390744605529,0.007595114043275528,1.0504980178406227,43.16161110981736,41.83112016170145,41.35104706318518,41.12915135458642,40.88110988582522,41.1887007294804,8.0,0.0,1461.0,16.0,0.008387849586585384,False,167.0,convergiu,0.008387833871387088,[0.008388],50,85
leader_follower,C3_lider_longa,1.0608520426612322,1.0608520426612322,1,4573.611181198156,1624.7197512288708,35.523783873626975,0.06277948326183418,1.0608520426612322,49.37207631844397,32.999446910951505,32.60028291508753,32.41637011036509,32.21170174362064,32.46621180727987,8.0,1.0,1794.0,16.0,0.372677996249965,False,500.0,nao_convergiu,0.37267249533029395,[0.372672],73,85
leader_follower,C3_naolider_curta,1.0504989670073044,1.0507974957944095,0,4573.617583979652,1904.340557956838,41.63751172873115,0.007579627859925802,1.0504919920148512,43.162106985489515,41.834312984790344,41.35521848120216,41.13378196525973,40.886264731844655,41.19321410595694,8.0,0.0,1457.0,16.0,0.008286400822004877,False,163.0,convergiu,0.008286385315531572,[0.008286],50,85
leader_follower,C3_naolider_longa,1.0504989670073044,1.0507974957944095,0,4573.617522031175,1906.8805547478987,41.69304813011648,0.04254041871273027,1.050491036588137,44.88978092222755,43.57482175596844,43.093587816439275,42.88112412717434,32.21180137531302,42.95952780099829,8.0,0.0,1457.0,16.0,0.25794923244326395,False,163.0,convergiu,0.25794335336750784,"[0.00763, 0.0]",50,85
leader_follower,C0,1.0504995469371559,1.0507981265196211,0,4573.617581850547,1904.1351094093627,41.63301971213177,0.007401274914890934,1.0504939807489024,43.131704485400554,41.81236514806506,41.34517611229075,41.130895986565655,40.93360102200255,41.191423981777106,8.0,0.0,1959.0,16.0,0.008045631680927964,False,220.0,convergiu,0.008045620683834298,[0.008046],51,85
leader_follower,C0_perda_0.05,1.0504971558779228,1.0507977394086376,0,4573.617580118162,1904.1185516562985,41.63265770040845,0.007396202352913034,1.0504943766047512,43.130704870429135,41.81105375084137,41.345563203698575,41.13005862875892,40.93438409022943,41.19192095446259,8.0,0.0,1986.0,16.0,0.008040894069291867,False,223.0,convergiu,0.008040883481098717,[0.008041],50,85
leader_follower,C0_perda_0.10,1.0504994107470977,1.05079789026866,0,4573.617576609672,1903.8484252153721,41.626751544597994,0.007401397179896557,1.0504961708997922,43.127178773462724,41.80281026526211,41.33806825111711,41.124069056336864,40.930478503602245,41.185934247361196,8.0,0.0,2013.0,16.0,0.008060821874962334,False,226.0,convergiu,0.008060810787025785,[0.008061],51,85
leader_follower,C0_perda_0.20,1.0504995946954556,1.0507979514656278,0,4573.617575207961,1903.7863066564923,41.62539336424357,0.007381327979228294,1.05049768703031,43.12197511789807,41.801900545386296,41.3363987873829,41.120016235312576,40.93529522376882,41.185517540526114,8.0,0.0,2083.0,16.0,0.008017429227820559,False,235.0,convergiu,0.008017420597053482,[0.008017],51,85
