arquitetura,cenario,hora,iteracoes_de_comunicacao,iteracoes_com_algum_enlace_fora,mensagens_tentadas,mensagens_entregues,mensagens_perdidas,taxa_de_perda_percentual,maior_idade_da_informacao_iteracoes,minimo_lambda_2
leaderless,C2,10,52,52,624,520,104,16.666666666666668,52,0.0
leaderless,C2,11,51,51,612,510,102,16.666666666666668,51,0.0
leaderless,C2,12,53,53,636,530,106,16.666666666666668,53,0.0
leaderless,C2,13,58,58,696,580,116,16.666666666666668,58,0.0
leaderless,C2,14,67,67,804,670,134,16.666666666666668,67,0.0
leaderless,C3_lider_curta,7,112,0,1344,1344,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,8,71,0,852,852,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,9,59,0,708,708,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,10,54,20,648,608,40,6.172839506172839,20,0.0
leaderless,C3_lider_curta,11,52,0,624,624,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,12,54,0,648,648,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,13,60,0,720,720,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,14,68,0,816,816,0,0.0,0,0.6570769172228301
leaderless,C3_lider_longa,7,112,0,1344,1344,0,0.0,0,0.6570769172228301
leaderless,C3_lider_longa,8,71,0,852,852,0,0.0,0,0.6570769172228301
leaderless,C3_lider_longa,9,59,0,708,708,0,0.0,0,0.6570769172228301
leaderless,C3_lider_longa,10,52,52,624,520,104,16.666666666666668,52,0.0
leaderless,C3_lider_longa,11,52,0,624,624,0,0.0,0,0.6570769172228301
leaderless,C3_lider_longa,12,54,0,648,648,0,0.0,0,0.6570769172228301
leaderless,C3_lider_longa,13,60,0,720,720,0,0.0,0,0.6570769172228301
leaderless,C3_lider_longa,14,68,0,816,816,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_curta,7,112,0,1344,1344,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_curta,8,71,0,852,852,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_curta,9,59,0,708,708,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_curta,10,54,20,648,608,40,6.172839506172839,20,0.0
leaderless,C3_naolider_curta,11,52,0,624,624,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_curta,12,54,0,648,648,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_curta,13,60,0,720,720,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_curta,14,68,0,816,816,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_longa,7,112,0,1344,1344,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_longa,8,71,0,852,852,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_longa,9,59,0,708,708,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_longa,10,52,52,624,520,104,16.666666666666668,52,0.0
leaderless,C3_naolider_longa,11,52,0,624,624,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_longa,12,54,0,648,648,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_longa,13,60,0,720,720,0,0.0,0,0.6570769172228301
leaderless,C3_naolider_longa,14,68,0,816,816,0,0.0,0,0.6570769172228301
