arquitetura,cenario,tensao_maxima_barras_pv_dia_pu,tensao_maxima_rede_dia_pu,horas_com_violacao_barras_pv,tensao_maxima_barras_pv_hora_pico_pu
sem_controle,sem_controle,1.065079232074837,1.065079232074837,8,1.065079232074837
leader_follower,C1,1.0504998653253068,1.050798209951824,0,1.0504994043677758
leader_follower,C2,1.0608520426612322,1.0608520426612322,8,1.0608520426612322
leader_follower,C3_lider_curta,1.0504989670073044,1.0507974957944095,0,1.0504980178406227
leader_follower,C3_lider_longa,1.0608520426612322,1.0608520426612322,1,1.0608520426612322
leader_follower,C3_naolider_curta,1.0504989670073044,1.0507974957944095,0,1.0504919920148512
leader_follower,C3_naolider_longa,1.0504989670073044,1.0507974957944095,0,1.050491036588137
leader_follower,C0,1.0504995469371559,1.0507981265196211,0,1.0504939807489024
leader_follower,C0_perda_0.05,1.0504971558779228,1.0507977394086376,0,1.0504943766047512
leader_follower,C0_perda_0.10,1.0504994107470977,1.05079789026866,0,1.0504961708997922
leader_follower,C0_perda_0.20,1.0504995946954556,1.0507979514656278,0,1.05049768703031
leaderless,C1,1.0504996215540174,1.050797688513331,0,1.0504889674692404
leaderless,C2,1.0504998956697011,1.0507974619454468,0,1.0504882848552968
leaderless,C3_lider_curta,1.0504977861724873,1.0507967743424314,0,1.0504839425460843
leaderless,C3_lider_longa,1.0504977861724873,1.0507967743424314,0,1.050488284844397
leaderless,C3_naolider_curta,1.0504977861724873,1.0507967743424314,0,1.0504831653567683
leaderless,C3_naolider_longa,1.0504977861724873,1.0507967743424314,0,1.050494724391692
leaderless,C0,1.0504974389982733,1.0507978401993958,0,1.0504914356146176
leaderless,C0_perda_0.05,1.0504971134159584,1.050797721679297,0,1.0504966890528045
leaderless,C0_perda_0.10,1.0504999775582753,1.0507987635540048,0,1.0504992849469652
leaderless,C0_perda_0.20,1.0504976146221043,1.050797904512319,0,1.0504894736817383
