arquitetura,cenario,sigma_r_diario_por_energia,sigma_r_global_hora_pico,sigma_r_por_particao_hora_pico
leader_follower,C1,0.019220371667332627,0.022671992544232456,[0.022672]
leader_follower,C2,0.3493855930506552,0.37267553302570194,"[0.0, 0.0]"
leader_follower,C3_lider_curta,0.007595114043275528,0.008387833871387088,[0.008388]
leader_follower,C3_lider_longa,0.06277948326183418,0.37267249533029395,[0.372672]
leader_follower,C3_naolider_curta,0.007579627859925802,0.008286385315531572,[0.008286]
leader_follower,C3_naolider_longa,0.04254041871273027,0.25794335336750784,"[0.00763, 0.0]"
leader_follower,C0,0.007401274914890934,0.008045620683834298,[0.008046]
leader_follower,C0_perda_0.05,0.007396202352913034,0.008040883481098717,[0.008041]
leader_follower,C0_perda_0.10,0.007401397179896557,0.008060810787025785,[0.008061]
leader_follower,C0_perda_0.20,0.007381327979228294,0.008017420597053482,[0.008017]
leaderless,C1,0.016547532425672546,0.023715534159603577,[0.023716]
leaderless,C2,0.1175041728691606,0.11847206300074982,"[0.0, 0.002058]"
leaderless,C3_lider_curta,0.006705780278398107,0.008129308747659261,[0.008129]
leaderless,C3_lider_longa,0.02317812543437683,0.11847205463629466,"[0.0, 0.002058]"
leaderless,C3_naolider_curta,0.006851787893458249,0.00916810379879375,[0.009168]
leaderless,C3_naolider_longa,0.03535477284570548,0.21382585087433914,"[0.006598, 0.0]"
leaderless,C0,0.0061354579072981485,0.007035570092927308,[0.007036]
leaderless,C0_perda_0.05,0.006141753693381687,0.007105867071771023,[0.007106]
leaderless,C0_perda_0.10,0.006166318340080054,0.007082619445286571,[0.007083]
leaderless,C0_perda_0.20,0.006114448213999201,0.006871097907442941,[0.006871]
